Code dossier BHL,Rubrique courte,Sexe,Statut,Statut religieux,Rubrique,Relations : Dossiers BHL / Codes BHL,Relations : Dossiers BHL / Saints,type.canondate
Antoninus04,Antoninus m. Placentiae,homme,ecclésiastique,séculier,Antoninus m. Placentiae,"['BHL 0580 | Inventio corporis. a', 'BHL 0580a | Inventio corporis. a, des. b$', 'BHL 0581 | Inventio corporis. c', 'BHL Antoninus04 |']",['Antoninus (282)'],
Antoninus05,Antoninus carnifex m. Romae,homme,laïc,séculier,Antoninus seu Antonius carnifex m. Romae,['BHL Antoninus05 |'],['Antoninus (283)'],
Antoninus06,Antoninus ab. Surrentinus,homme,ecclésiastique,régulier,Antoninus ab. Surrentinus,"['BHL 0582 | Vita', 'BHL 0583 | Vita', 'BHL Antoninus06 |']",['Antoninus (284)'],
Antonius01,Antonius mon. Lirinensis,homme,ecclésiastique,régulier,Antonius mon. Lirinensis,"['BHL 0584 | Vita auct. Ennodio', 'BHL Antonius01 |']",['Antonius (285)'],
Antonius02,Antonius presb. erem. Lucae,homme,ecclésiastique,séculier,Antonius presb. erem. Lucae,"['BHL 0585 | Vita', 'BHL Antonius02 |']",['Antonius (286)'],
Antonius03,Antonius Ord. Erem. S. Aug.,homme,ecclésiastique,régulier,Antonius Ord. Erem. S. Aug. Monticiani,"['BHL 0586 | Vita', 'BHL Antonius03 |']",['Antonius (287)'],
Antonius04,Antonius de Padua,homme,ecclésiastique,régulier,Antonius de Padua,"['BHL 0587 | Vita et miracula', 'BHL 0588 | Vita et miracula. b)', 'BHL 0588b | Additamentum de S. Antonii translatione', 'BHL 0589 | Eiusdem libelli epitome', 'BHL 0589d | Vita eadem retractata ab Aegidio Zamorensi', 'BHL 0590 | Miracula coram Gregorio IX ad canonizationem proposita a', 'BHL 0591 | Miracula coram Gregorio IX ad canonizationem proposita. b', 'BHL 0592 | Vita', 'BHL 0592a | Epilogum Vitae auct. Iuliano Spirensi', 'BHL 0593 | Vita', 'BHL 0593b | I. Vita', 'BHL 0593c | Epitome eiusdem vitae', 'BHL 0593d | Epitome eiusdem Vitae. Des. b', 'BHL 0594 | Vita', 'BHL 0594a | Vita et miracula auct. Iohanne Rigaldi. I', 'BHL 0594b | Vita et miracula auct. Iohanne Rigaldi. II', 'BHL 0594d | a. Dialogus de B. Antonio de Padua (in ""Dialogo de gestis SS. fratrum minorum"", auct. Thoma de Papia vel Thoma de Celano ?)', 'BHL 0594e | (Recensio incompleta)', 'BHL 0595 | Vita et miracula (in Chronica XXIV generalium Ord. Min.)', 'BHL 0596 | Miracula a Bernardo Guidonis excerpta', 'BHL 0596d | Miracula quinque', 'BHL 0596e | Miraculo octo', 'BHL 0597 | Miracula anno 1346 a notario conscripta', 'BHL 0598 | Vita et miracula auct. Siccone Polentono', 'BHL 0599 | Miracula', 'BHL 0601 | Legendae breviores f', 'BHL 0602 | Legenda breviora', 'BHL 0602d | Legendae breviores. h', 'BHL 0602e | Legendae breviores. k', 'BHL 0602f | Legenda florentina (concinnata ante a. 1280)', 'BHL Antonius04 |']",['Antonius (288)'],1232
Antonius05,Antonius Peregrinus conf. Patavii,homme,ecclésiastique,séculier,Antonius Peregrinus conf. Patavii,"['BHL 0603 | Miracula scripta a Thealdo de Soligo notario', 'BHL 0604 | Vita et miracula', 'BHL 0605 | Eiusdem libelli epitome auct. Siccone Polentono', 'BHL Antonius05 |']",['Antonius (289)'],
Antonius06,Antonius de Ripolis m. in Africa,homme,ecclésiastique,régulier,Antonius de Ripolis Ord. Praed. m. in Africa,"['BHL 0606 | Passio auct. Constantio', 'BHL 0606a | Additamentum ""Yo Ferrant Eodiso... supradicta esse vera""', 'BHL 0607 | Passio auct. Fransisco Castilionensi', 'BHL 0608 | Miracula', 'BHL 0608b | Passio auct. Petro Ranzano', 'BHL Antonius06 |']",['Antonius (290)'],
Antonius07,"Antonius, Merulus et Iohannes",homme,ecclésiastique,régulier,"Antonius, Merulus et Iohannes mon. Romae",['BHL Antonius07 |'],"['Antonius (291)', 'Iohannes (1619)', 'Merulus (2198)']",
Antonius08,Antonius ab. in Thebaide,homme,ecclésiastique,régulier,Antonius ab. in Thebaide,"['BHL 0600 | Vita metrica auct. Mapheo Vegio, libris 4', 'BHL 0609 | Vita auct. Athanasio, interprete Evagrio', 'BHL 0609a | Vita auct. Athanasio, interprete Evagrio. Des. a', 'BHL 0609b | Vita auct. Athanasio, interprete Evagrio. Des. b', 'BHL 0609c | Vita auct. Athanasio, interprete Evagrio. Des. g', 'BHL 0609d | Vita auct. Athanasio, interprete Evagrio. Additamenta', 'BHL 0609e | Vita auct. Athanasio, interprete anonymo antiquiore (preperam Evagrio vel Hieronymo adscripta). Des. A', 'BHL 0609h | Vita', 'BHL 0609m | Carmen auct. Aldhelmo', 'BHL 0610 | Carmen seu brevis vita metrica', 'BHL 0610b | Legenda mirabilis auct. Alfonso OP interprete. I. Epist.', 'BHL 0610c | Legenda mirabilis auct. Alfonso OP interprete. II. Iter Barcinonense', 'BHL 0610d | Legenda mirabilis auct. Alfonso OP interprete. III. De puerita S. Antonii', 'BHL 0610e | Legenda mirabilis auct. Alfonso OP interprete. IV. De habitu quem Christus A. induit', 'BHL 0610f | Legenda mirabilis auct. Alfonso OP interprete. V. De artificiis daemonum', 'BHL 0610g | Legenda mirabilis auct. Alfonso OP interprete. VI. Quomodo A. se ipse diffamabat', 'BHL 0610h | Legenda de Patras auct. anonymo (saec. X)', 'BHL 0610k | Legenda de Patras auct. anonymo. Additis Prologo et Epilogo', 'BHL 0610m | Tentatio', 'BHL 0610n | ""Muscipula S. Antonii"" seu eiusdem ""Tentationis"" retractatio', 'BHL 0611 | Vita auct. Iohanne Marcellarii', 'BHL 0611b | Vita auct. Iohanne Garzone', 'BHL 0612 | Translatio Cpolim', 'BHL 0612c | Eiusdem translationis epitome auct. Petro Calo', 'BHL 0613 | Translatio Cpoli in Galliam', 'BHL 0613b | De tribus translationibus', 'BHL 0613f | Inventio et translatio', 'BHL 0613g | Inventio et translatio. II', 'BHL 0614 | Miracula Tolosae an. 1115', 'BHL Antonius08 |']",['Antonius (292)'],
Antonius09,Antonius ep. Mediolanensis,homme,ecclésiastique,séculier,Antonius ep. Mediolanensis,['BHL Antonius09 |'],['Antonius (3362)'],
Anub,Anub erem. in Aegypto,homme,ecclésiastique,régulier,Anub erem. in Aegypto,['BHL Anub |'],['Anub (293)'],
Aper01,Aper presb. Gratianopoli,homme,ecclésiastique,séculier,Aper presb. Gratianopoli,"['BHL 0615 | Vita', 'BHL Aper01 |']",['Aper (294)'],
Aper02,Aper ep. Tullensis,homme,ecclésiastique,séculier,Aper ep. Tullensis,"['BHL 0616 | Vita', 'BHL 0617 | Vita', 'BHL 0617d | Vita', 'BHL 0618 | Miracula', 'BHL Aper02 |']",['Aper (295)'],
Aphrodisius,Aphrodisius ep. Biterrensis,homme,ecclésiastique,séculier,Aphrodisius ep. Biterrensis,['BHL Aphrodisius |'],['Aphrodisius (296)'],
Apianus01,Apianus mon. Papiae,homme,ecclésiastique,régulier,Apianus mon. Papiae,"['BHL 0619 | Vita', 'BHL 0620 | Laudatio', 'BHL 0621 | Carmen', 'BHL Apianus01 |']",['Apianus (297)'],
Apianus02,Apianus presb. in Sardinia,homme,ecclésiastique,séculier,"Apianus presb. in Sardinia, saec. ignoto",['BHL Apianus02 |'],['Apianus (3760)'],
Apollinaris01,Apollinaris ab. Casinensis,homme,ecclésiastique,régulier,Apollinaris ab. Casinensis,"['BHL 0622 | Vita auct. Petro diac. (in libro De ortu et obitu iustorum coen. Casinensis, 26)', 'BHL Apollinaris01 |']",['Apollinaris (299)'],
Apollinaris02,Apollinaris ep. Ravennas,homme,ecclésiastique,séculier,Apollinaris ep. Ravennas,"['BHL 0623 | Passio', 'BHL 0623b | Passio', 'BHL 0624 | Vita (in Agnelli Lib. Pont. Eccl. Ravenn.)', 'BHL 0625 | Vita auct. Ps.-Damaso papa, libris 10 (antiqua?)', 'BHL 0626 | Translatio Ravennam saec. IX', 'BHL 0627 | Miracula in territorio Divionensi', 'BHL 0627b | Miraculum', 'BHL 0628 | Inventio an. 1173 et miracula', 'BHL 0629 | Litterae Hildebrandi cardinalis', 'BHL 0630 | Tractatus Rodulphi', 'BHL 0631 | Miracula in ecclesia Classensi', 'BHL 0632 | ""Translationes reliquiarum corporis S. Apollinaris a"" Ravenna in Gorinchem et in aliis diversis locis, oppidis et ""monasteris"" auct. Theodorico Pauli', 'BHL Apollinaris02 |']",['Apollinaris (300)'],
Apollinaris03,Apollinaris m. Tergestae,homme,laïc,séculier,Apollinaris m. Tergestae,"['BHL 0633 | Passio', 'BHL Apollinaris03 |']",['Apollinaris (301)'],
Apollinaris04,Apollinaris ep. Valentinensis,homme,ecclésiastique,séculier,Apollinaris ep. Valentinensis in Gallia,"['BHL 0634 | Vita', 'BHL 0635 | Eiusdem epitome', 'BHL 0636 | Miracula', 'BHL Apollinaris04 |']",['Apollinaris (302)'],
Apollo,"Apollo, Isacius et Crotas",homme,laïc,séculier,"Apollo, Isacius et Crotas m. in Hispania Baetica","['BHL 0637 | Passio (antiqua?)', 'BHL Apollo |']","['Apollo (303)', 'Crotas (768)', 'Isacius (1706)']",
Apollonia01,Apollonia m. Alexandriae,femme,laïc,séculier,Apollonia v. m. Alexandriae,"['BHL 0638 | Passio', 'BHL 0639 | Passio', 'BHL 0640 | Passio', 'BHL 0641 | Passio', 'BHL 0641b | Passio', 'BHL 0641d | Passio', 'BHL 0641e | Passio', 'BHL 0641f | Passio. Des. b', 'BHL 0641g | Passio', 'BHL 0641h | Legenda', 'BHL 0642 | Passio metrica auct. Baptista Mantuano (Parthenices pars III, 4)', 'BHL 0642d | Miraculum', 'BHL Apollonia01 |']",['Apollonia (304)'],
Apollonia02,Apollonia m. Romae,femme,laïc,séculier,Apollonia v. m. Romae,"['BHL 0643 | Passio', 'BHL 0644 | Eiusdem epitome', 'BHL 0645 | Miraculum', 'BHL Apollonia02 |']",['Apollonia (305)'],
Apollonius01,Apollonius ab. in Thebaide,homme,ecclésiastique,régulier,Apollonius ab. in Thebaide,"['BHL 0646 | Vita', 'BHL 0647 | Carmen auct. Adhelmo', 'BHL Apollonius01 |']",['Apollonius (306)'],
Apollonius02,Apollonius m. Romae,homme,laïc,séculier,"Apollonius m. Romae, sub Commodo",['BHL Apollonius02 |'],['Apollonius (3363)'],
Apostoli,Apostoli et evangelistae,homme,ecclésiastique,séculier,Apostoli et evangelistae,"['BHL 0648 | Notitia de locis ss. Apostolorum a', 'BHL 0649 | Noticia de locis ss. apostolorum. b.', 'BHL 0650 | Notitia regionum et civitatum in quibus ss. Apostolorum corpora requiescunt', 'BHL 0650d | Inc. ""Iohannes Baptista filius Zachariae ex tribu Levi, in Hierusalem natus""', 'BHL 0651 | Quibus locis singuli apostoli iaceant', 'BHL 0651b | Notitia apostolorum ubi requiescunt', 'BHL 0651c | Inc.', 'BHL 0651d | Inc.', 'BHL 0651f | Quomodo apostoli obierunt', 'BHL 0652 | Breviarum apostolorum ex nomine vel locis ubi praedicaverunt orti vel obiti sunt', 'BHL 0652d | Breviarum apostolorum', 'BHL 0652f | Notitia apostolorum et de aliis disciplis (""De xii apostolis in quibus locis praedicaverunt et consummati sunt"")', 'BHL 0653 | Laterculus apostolorum', 'BHL 0653b | Apostolorum nomina et ubi praedicaverunt et sub quibus passi sunt', 'BHL 0654 | Carmen', 'BHL 0654a | Carmina (Petro Damiani adscripta). I', 'BHL 0654b | Carmina (Petro Damiani adscripta). II', 'BHL 0654c | Narratio brevis praemissa, inc. Igitur Iudaei a tempore dominicae passionis"", des. ""prima alma fides""', 'BHL 0654f | Versus', 'BHL 0654g | Inc.', 'BHL 0654h | Inc.', 'BHL 0654k | Inc.', 'BHL 0654kb | Bernardi Guidonis I. Nomina apostolorum', 'BHL 0654kc | Nomina discipulorum', 'BHL 0654kd | Nomina discipulorum sub compendio', 'BHL 0654ke | Series apostolorum e poemate venantii fortunati deprompta', 'BHL 0654kf | ""Cathalogus""', 'BHL 0654kg | Index discipulorum', 'BHL 0654kh | Nomina discipulorum', 'BHL 0654ki | Inc.', 'BHL 0654kj | Nomina LXX discipulorum', 'BHL 0654l | Nomina LXXII discipulorum', 'BHL 0654lb | Divisio apostolorum', 'BHL 0654lc | Inc.', 'BHL 0654ld | Divisio Apostolorum. c', 'BHL Apostoli |']",['Apostoli (309)'],
Apronianus,Apronianus m. Romae,homme,laïc,séculier,Apronianus m. Romae,['BHL Apronianus |'],['Apronianus (310)'],
Aquila,Aquila et Priscilla,mixte,laïc,séculier,Aquila et Priscilla (Prisca) m.,"['BHL 0654m | Lectiones', 'BHL 0654n | Inc.', 'BHL 0654p | Lectiones', 'BHL 0654q | (Miraculum)', 'BHL 0654r | (Adhortatio)', 'BHL 0654t | Laudatio auct. Petro diac.', 'BHL 0654x | Laudatio', 'BHL Aquila |']","['Aquila (3341)', 'Prisca (3342)']",
Aquilinus,Aquilinus ep. Ebroicensis,homme,ecclésiastique,séculier,Aquilinus ep. Ebroicensis,"['BHL 0655 | Vita', 'BHL Aquilinus |']",['Aquilinus (312)'],
Arbogastus,Arbogastus ep. Argentinensis,homme,ecclésiastique,séculier,Arbogastus ep. Argentinensis,"['BHL 0656 | Vita adscripta Uthoni ep.', 'BHL 0656a | Vita. Des. a', 'BHL 0656b | Vita. Des. b', 'BHL 0657 | Epitome', 'BHL 0657b | Epitome. a', 'BHL 0657c | Epitome. b', 'BHL Arbogastus |']",['Arbogastus (313)'],
Arcadius01,Arcadius m. Caesareae in Mauritania,homme,laïc,séculier,Arcadius m. Caesareae in Mauritania,"['BHL 0658 | Sermo S. Zenonis ep. Veron.', 'BHL 0658b | Inc.', 'BHL 0659 | Passio', 'BHL Arcadius01 |']",['Arcadius (314)'],
Arcadius02,"Arcadius, Eutychianus et soc. m.",homme,laïc,séculier,"Arcadius, Eutychianus, Paschasius, Probus m. in Africa",['BHL Arcadius02 |'],"['Arcadius (3364)', 'Eutychianus (3367)', 'Paschasius (3365)', 'Probus (3366)']",
Archelaa,Archelaa et soc. m. Salerni,femme,laïc,séculier,"Archelaa, Thecla et Susanna v. m. Salerni","['BHL 0660 | Passio', 'BHL 0661 | Translatio', 'BHL Archelaa |']","['Archelaa (315)', 'Susanna (2931)', 'Thecla (2976)']",
Ardanus,Ardanus ab. Trenorchiensis,homme,ecclésiastique,régulier,Ardanus ab. Trenorchiensis,"['BHL 0661d | Laudatio', 'BHL 0661e | Translatio an. 1140 et miracula', 'BHL 0662 | Miracula', 'BHL Ardanus |']",['Ardanus (316)'],
Arduinus,Arduinus presb. Arimini,homme,ecclésiastique,séculier,Arduinus presb. Arimini,"['BHL 0663 | Vita', 'BHL Arduinus |']",['Arduinus (317)'],
Aredius01,Aredius ab. Lemovicinus,homme,ecclésiastique,régulier,Aredius ab. Lemovicinus,"['BHL 0664 | Vita auct. Gregorio Turon', 'BHL 0665 | Prologus in duo priora miracula', 'BHL 0666 | Vita et miracula perperam adscripta Gregorio Turon.', 'BHL 0667 | Vita brevior', 'BHL 0668 | Stemma seu "" Narratio generationis "" Aredii', 'BHL Aredius01 |']",['Aredius (318)'],
Aredius02,Aredius ep. Vapincensis,homme,ecclésiastique,séculier,Aredius ep. Vapincensis,"['BHL 0669 | Vita', 'BHL 0670 | Vita', 'BHL Aredius02 |']",['Aredius (319)'],
Arethas,Arethas et soc. m. Negranae,homme,laïc,séculier,Arethas et soc. m. Negranae in Arabia,"['BHL 0671 | Passio, interprete Athanasio II ep. Neapol', 'BHL Arethas |']",['Arethas (320)'],
Argentea,Argentea et Vulfuras m. Cordubae,mixte,laïc,séculier,Argentea et Vulfuras m. Cordubae,"['BHL 0672 | Passio', 'BHL Argentea |']","['Argentea (321)', 'Vulfuras (3231)']",
Argimirus,Argimirus m. Cordubae,homme,ecclésiastique,régulier,Argimirus mon. m. Cordubae,['BHL Argimirus |'],['Argimirus (322)'],
Arialdus,Arialdus m. Mediolani,homme,ecclésiastique,séculier,Arialdus m. Mediolani,"['BHL 0673 | Vita auct. Andrea ab. Vallumbrosano', 'BHL 0674 | Epistulae Andreae ad Syrum et Syri ad Andream de vita et miraculis I', 'BHL 0675 | Epistulae Andreae ad Syrum et Syri ad Andream de Vita et miraculis. II.', 'BHL 0676 | Epistulae Andreae ad Syrum et Syri ad Andream de Vita et miraculis. III.', 'BHL 0677 | Passio perperam adscripta Landulpho de S. Paulo', 'BHL Arialdus |']",['Arialdus (323)'],1067
Aristarchus,Aristarchus discipulus S. Pauli,homme,laïc,séculier,Aristarchus discipulus et concaptivus Pauli ap.,['BHL Aristarchus |'],['Aristarchus (3368)'],
Aristides,Aristides philosophus Athenis,homme,laïc,séculier,Aristides philosophus Athenis,['BHL Aristides |'],['Aristides (3369)'],
Aristio,Aristio discipulus Domini,homme,laïc,séculier,Aristio discipulus Domini,['BHL Aristio |'],['Aristio (3370)'],
Armagilus,Armagilus conf. in Britannia Armorica,homme,ecclésiastique,séculier,Armagilus conf. in Britannia Armorica,"['BHL 0678 | Vita', 'BHL 0679 | Vita', 'BHL Armagilus |']",['Armagilus (324)'],
Armogastes,Armogastes et soc. m. in Africa,homme,laïc,séculier,Armogastes comes et soc. m. in Africa,['BHL Armogastes |'],['Armogastes (325)'],
Arnestus,Arnestus ep. Pragensis,homme,ecclésiastique,séculier,Arnestus ep. Pragensis,"['BHL 0680 | Vita auct. Guilelmo de Lestkow', 'BHL 0681 | Visio', 'BHL 0682 | Vita', 'BHL 0683 | Narratio', 'BHL 0683b | Vita', 'BHL Arnestus |']",['Arnestus (326)'],
Arnikius,Arnikius Averbodiensis,homme,ecclésiastique,séculier,Arnikius canon. reg. Averbodiensis,"['BHL 0684 | Vita auct. Nicolao Hoochlant, ab. Middelburgensi', 'BHL Arnikius |']",['Arnikius (327)'],
Arnoldus01,Arnoldus conf. in agro Iuliacensi,homme,ecclésiastique,séculier,Arnoldus conf. in agro Iuliacensi,"['BHL 0685 | Vita', 'BHL 0686 | Vita. Des. b.', 'BHL Arnoldus01 |']",['Arnoldus (328)'],
Arnoldus02,Arnoldus ep. Moguntinus,homme,ecclésiastique,séculier,Arnoldus ep. Moguntinus,"['BHL 0687 | Vita', 'BHL Arnoldus02 |']",['Arnoldus (329)'],
Arnulfus01,Arnulfus m. Cisonii,homme,laïc,séculier,Arnulfus m. Cisonii in Belgio,"['BHL 0688 | Vita rhythmica', 'BHL Arnulfus01 |']",['Arnulfus (330)'],
Arnulfus02,Arnulfus ep. Mettensis,homme,ecclésiastique,séculier,Arnulfus ep. Mettensis,"['BHL 0689 | Vita des. a)', 'BHL 0690 | Vita des. b)', 'BHL 0691 | Vita des. g)', 'BHL 0692 | Vita des. d) vel d*)', 'BHL 0692a | Vita des. d*)', 'BHL 0692b | Vita des. d)', 'BHL 0692g | Prologus alter', 'BHL 0693 | Vita perperam adscripta Umnoni', 'BHL 0694 | Narrationes auct. Paulo diac.', 'BHL 0695 | Genealogia B. Arnulfi. a', 'BHL 0696 | Genealogia B. Arnulfi. b', 'BHL 0697 | Genealogia B. Arnulfi. c', 'BHL 0697b | Maius opus genealogicum', 'BHL 0697d | Genealogia et prosapia auct. presb. Witgero', 'BHL 0697e | Inc.', 'BHL 0698 | Genealogia', 'BHL 0699 | Genealogia', 'BHL 0700 | Genealogia', 'BHL 0700d | Genealogia', 'BHL 0701 | Genealogia (Carmen de exordio gentis Francorum)', 'BHL Arnulfus02 |']",['Arnulfus (331)'],
Arnulfus03,Arnulfus m. Mosomi,homme,laïc,séculier,Arnulfus m. Mosomi,"['BHL 0702 | Vita et translatio', 'BHL Arnulfus03 |']",['Arnulfus (332)'],
Arnulfus04,Arnulfus ep. Suessionensis,homme,ecclésiastique,séculier,Arnulfus ep. Suessionensis,"['BHL 0703 | Vita auct. Hariulfo. a. Prior editio', 'BHL 0704 | Vita auct. Hariulfo. b. Editio altera, libris 3', 'BHL 0704c | Vita', 'BHL 0705 | Epitome', 'BHL 0705a | Genealogia', 'BHL 0705b | Miracula metrica auct. Iohanne de Biervliet', 'BHL Arnulfus04 |']",['Arnulfus (333)'],
Arnulfus05,Arnulfus (ep. Turonensis ?) m.,homme,ecclésiastique,séculier,Arnulfus (ep. Turonensis ?) m.,"['BHL 0706 | Vita adscripta S. Audoeno', 'BHL 0707 | Vita', 'BHL 0708 | Vita metrica auct. Letselino', 'BHL 0709 | Vita metrica auct. Letselino. b.', 'BHL 0710 | Translatio in pagum Castrensem', 'BHL 0711 | Translatio in pagum Vandesem et miracula', 'BHL 0711b | Translatio in novam capsam an.1103', 'BHL Arnulfus05 |']",['Arnulfus (334)'],
Arnulfus06,Arnulfus ep. Vapincensis,homme,ecclésiastique,séculier,Arnulfus ep. Vapincensis,"['BHL 0712 | Vita', 'BHL 0712b | Vita', 'BHL Arnulfus06 |']",['Arnulfus (335)'],
Arnulfus07,Arnulfus mon. Villariensis,homme,ecclésiastique,régulier,Arnulfus mon. Villariensis in Belgio,"['BHL 0713 | Vita auct. Goswino de Bossuto, libris 2', 'BHL 0714 | Vita (in Gest. SS. Villariensium)', 'BHL Arnulfus07 |']",['Arnulfus (336)'],
Arnulfus08,Arnulfus Ninivensis,homme,ecclésiastique,régulier,"Arnulfus de Felseca, conversus Ord. Praem. in abbatia Ninivensi","['BHL 0688d | Narratio', 'BHL Arnulfus08 |']",['Arnulfus (3371)'],
Arsacius01,Arsacius Mediolanensis,homme,laïc,séculier,Arsacius conf. Mediolanensis,['BHL Arsacius01 |'],['Arsacius (3372)'],
Arsacius02,Arsacius conf. Nicomediae,homme,laïc,séculier,Arsacius (al. Ursacius) conf. Nicomediae,['BHL Arsacius02 |'],['Arsacius (3373)'],
Arsatius,Arsatius cultus Ilmae,homme,ecclésiastique,séculier,Arsatius cultus Ilmae,"['BHL 0714d | Acta (saec. XV exarata)', 'BHL Arsatius |']",['Arsatius (3761)'],
Arsenius,Arsenius erem. in monte Scethi,homme,ecclésiastique,régulier,Arsenius erem. in monte Scethi Libyae,"['BHL 0715 | Vita (excerpta ex Vitis patrum, lib. III)', 'BHL 0715b | Vita (excerpta e Vitis Patrum)', 'BHL 0715c | Lectiones', 'BHL Arsenius |']",['Arsenius (337)'],
Artaldus,Artaldus ep. Belicensis,homme,ecclésiastique,séculier,Artaldus ep. Belicensis,"['BHL 0716 | Vita (antiqua?)', 'BHL Artaldus |']",['Artaldus (339)'],
Artemas,Artemas puer m. Puteolis,homme,laïc,séculier,Artemas puer m. Puteolis,"['BHL 0717 | Passio auct. Petro', 'BHL Artemas |']",['Artemas (340)'],
Artemia,Artemia,femme,laïc,séculier,Artemia (v. m. Romae Diocletiani imp. filia !),['BHL Artemia |'],['Artemia (341)'],
Artemius,"Artemius, Candida et Paulina",mixte,laïc,séculier,"Artemius, Candida et Paulina m. Romae",['BHL Artemius |'],"['Artemius (342)', 'Candida (599)', 'Paulina (2389)']",
Arthellais,Arthellais v. Beneventi,femme,laïc,séculier,Arthellais v. Beneventi,"['BHL 0718 | Vita auct. Hilario, interprete Petro', 'BHL 0719 | Vitae 1 epitome', 'BHL 0720 | Vita', 'BHL Arthellais |']",['Arthellais (343)'],
Asaph,Asaph ep. in Wallia,homme,ecclésiastique,séculier,Asaph ep. in Wallia,"['BHL 0721 | Vita', 'BHL 0721a | Prologus, inc. ""Gloriosissimi Confessoris et Pontificis Assaph paterni...""', 'BHL Asaph |']",['Asaph (344)'],
Ascelina,Ascelina v. Ord. Cist.,femme,laïc,régulier,Ascelina v. Ord. Cist.,"['BHL 0721b | Vita auct. Gossuino mon. Clarevallensi (?)', 'BHL Ascelina |']",['Ascelina (3374)'],
Asclas,Asclas m. Antinoi,homme,laïc,séculier,Asclas m. Antinoi in Thebaide,"['BHL 0722 | Passio', 'BHL Asclas |']",['Asclas (345)'],
Asella,Asella v. Romae,femme,laïc,séculier,Asella v. Romae,"['BHL 0723 | Laudatio auct. Hieronymo', 'BHL Asella |']",['Asella (346)'],
Aseneth,Aseneth filia Putipharis,femme,laïc,séculier,Aseneth filia Putipharis,"['BHL 0723b | Liber de aseneth a. (Interpretatio I.)', 'BHL 0723c | (Interpretatio I-a abbreviata)', 'BHL 0723g | Abbreviatio auct. Vincentio Bellov.', 'BHL Aseneth |']",['Aseneth (3375)'],
Aspren,Aspren ep. Neapolitanus,homme,ecclésiastique,séculier,Aspren ep. Neapolitanus,"['BHL 0724 | Vita', 'BHL 0725 | Vita auct. Alberico', 'BHL 0726 | Vita (antiqua?)', 'BHL Aspren |']",['Aspren (347)'],
Asteria,Asteria m. Bergomi,femme,laïc,séculier,Asteria v. m. Bergomi,"['BHL 0727 | Passio', 'BHL Asteria |']",['Asteria (348)'],
Asterius,Asterius m. ad Ostia Tiberina,homme,ecclésiastique,séculier,Asterius presb. m. ad Ostia Tiberina,['BHL Asterius |'],['Asterius (349)'],
Athanasius01,Athanasius ep. Alexandrinus,homme,ecclésiastique,séculier,Athanasius ep. Alexandrinus,"['BHL 0727n | Historia acephala ad athanasium potissimum ac res  Alexandrinas pertinens', 'BHL 0728 | Vita (ex Rufino excerpta)', 'BHL 0728b | Vita (ex eodem excerpta)', 'BHL 0728c | Vita', 'BHL 0729 | Vita (partim excerpta ex Cassiodori Hist. Trip.)', 'BHL 0729b | Vita', 'BHL 0730 | Vita (Partim Excerpta Ex Cassiodori Hist. Trip.)', 'BHL 0730b | Vita', 'BHL 0731 | Vita (Partim Excerpta Ex Cassiodori Hist. Trip.)', 'BHL 0731a | Vita auct. Adelberto priore Augustensi', 'BHL 0732 | Vita Auct. Iohanne Tortellio Aretino', 'BHL 0732b | Vita interprete Hermolao ep. Veronensi (+ 1493) et translatio auct. eodem', 'BHL 0732c | Vita interprete Hermolao ep. Veronensi (+ 1493) et translatio auct. eodem. II', 'BHL 0732g | Vita', 'BHL 0733 | Carmen Auct. Aldhelmo', 'BHL Athanasius01 |']",['Athanasius (353)'],
Athanasius02,Athanasius ep. Neapolitanus,homme,ecclésiastique,séculier,Athanasius ep. Neapolitanus,"['BHL 0734 | Vita auct. Iohanne diac. (in Gest. ep. Neapol.)', 'BHL 0735 | Vita (recensio amplior)', 'BHL 0736 | Vita (recensio amplior)', 'BHL 0737 | Translatio Guarimpoto adscripta', 'BHL 0737a | Versus ""Quisquis Athanasii vitam miraque...""', 'BHL 0738 | (Epitome)', 'BHL 0739 | Epitome vitae Translationis (Antiqua?)', 'BHL Athanasius02 |']",['Athanasius (354)'],
Attala01,Attala abb. Argentorati,femme,laïc,régulier,Attala v. abb. Argentorati,"['BHL 0739c | 1a. Vita et revelatio auct. C(onrado) diacono. II', 'BHL 0739m | Vita et revelatio auct. C(onrado) diacono', 'BHL 0740 | Vita', 'BHL 0741 | Vita Et Miracula', 'BHL Attala01 |']",['Attala (355)'],
Attala02,Attala ab. Bobiensis,homme,ecclésiastique,régulier,Attala ab. Bobiensis,"['BHL 0742 | Vita auct. Iona', 'BHL 0743 | Epitome vitae 1', 'BHL 0744 | Carmen auct. Flodorado', 'BHL Attala02 |']",['Attala (356)'],
Attilanus,Attilanus ep. Zamorensis,homme,ecclésiastique,séculier,Attilanus ep. Zamorensis,"['BHL 0745 | Vita S. Attilanus', 'BHL 0745a | Vita ( recensio interpolata)', 'BHL Attilanus |']",['Attilanus (357)'],1042-1099
Atto,Atto ep. Pistoriensis,homme,ecclésiastique,séculier,Atto ep. Pistoriensis,"['BHL 0745d | Vitae fragmentum', 'BHL 0745f | Inventio corporis an. 1337', 'BHL 0745h | Miracula', 'BHL 0745k | Inc.', 'BHL Atto |']",['Atto (3376)'],
